procs,n,time,iters,converged
2,2048,0.01383209228515625,3,1
2,2048,0.014821052551269531,3,1
2,2048,0.013138055801391602,3,1
2,2048,0.015321969985961914,3,1
2,2048,0.012915849685668945,3,1
2,2048,0.014117002487182617,3,1
2,2048,0.01543116569519043,3,1
2,2048,0.01623821258544922,3,1
2,2048,0.01223611831665039,3,1
2,2048,0.01704096794128418,3,1
2,2048,0.012141942977905273,3,1
2,2048,0.012012004852294922,3,1
2,2048,0.014152050018310547,3,1
2,2048,0.011517047882080078,3,1
4,2048,0.010239839553833008,3,1
2,2048,0.01184391975402832,3,1
4,2048,0.0066487789154052734,3,1
2,2048,0.01236104965209961,3,1
4,2048,0.007031917572021484,3,1
2,2048,0.011630058288574219,3,1
4,2048,0.007122993469238281,3,1
4,2048,0.006829023361206055,3,1
2,2048,0.016456127166748047,3,1
2,2048,0.011682987213134766,3,1
4,2048,0.0068759918212890625,3,1
4,2048,0.006896018981933594,3,1
2,2048,0.01162409782409668,3,1
4,2048,0.0068318843841552734,3,1
2,2048,0.012079000473022461,3,1
2,2048,0.011847972869873047,3,1
4,2048,0.0068318843841552734,3,1
2,2048,0.015002012252807617,3,1
4,2048,0.007014036178588867,3,1
4,2048,0.006834983825683594,3,1
2,2048,0.012759923934936523,3,1
2,2048,0.012738943099975586,3,1
4,2048,0.006784200668334961,3,1
4,2048,0.006909847259521484,3,1
2,2048,0.015334129333496094,3,1
4,2048,0.006561994552612305,3,1
2,2048,0.01653909683227539,3,1
4,2048,0.006955146789550781,3,1
2,2048,0.014966964721679688,3,1
4,2048,0.0074481964111328125,3,1
2,2048,0.012818098068237305,3,1
4,2048,0.006766796112060547,3,1
2,2048,0.011959075927734375,3,1
4,2048,0.006803989410400391,3,1
2,2048,0.015617847442626953,3,1
4,2048,0.00697016716003418,3,1
2,2048,0.016592979431152344,3,1
4,2048,0.006782054901123047,3,1
2,2048,0.015362977981567383,3,1
4,2048,0.006638050079345703,3,1
2,2048,0.015005826950073242,3,1
4,2048,0.007050037384033203,3,1
2,2048,0.01587820053100586,3,1
4,2048,0.006574869155883789,3,1
2,2048,0.01184701919555664,3,1
4,2048,0.0066640377044677734,3,1
2,2048,0.016729116439819336,3,1
4,2048,0.00674891471862793,3,1
2,2048,0.015817880630493164,3,1
4,2048,0.006850004196166992,3,1
2,2048,0.012067079544067383,3,1
4,2048,0.007023811340332031,3,1
2,2048,0.0132598876953125,3,1
4,2048,0.007071018218994141,3,1
2,2048,0.011488914489746094,3,1
8,2048,0.007843017578125,3,1
4,2048,0.006804943084716797,3,1
2,2048,0.016685962677001953,3,1
4,2048,0.006971120834350586,3,1
2,2048,0.012454986572265625,3,1
4,2048,0.006561994552612305,3,1
8,2048,0.004348039627075195,3,1
2,2048,0.012223958969116211,3,1
4,2048,0.006896018981933594,3,1
2,2048,0.014177083969116211,3,1
4,2048,0.007021903991699219,3,1
8,2048,0.004127025604248047,3,1
2,2048,0.014706134796142578,3,1
4,2048,0.006880044937133789,3,1
2,2048,0.014209985733032227,3,1
4,2048,0.006814002990722656,3,1
8,2048,0.0042362213134765625,3,1
2,2048,0.01302194595336914,3,1
4,2048,0.006473064422607422,3,1
2,2048,0.012133121490478516,3,1
4,2048,0.006947040557861328,3,1
8,2048,0.004354953765869141,3,1
2,2048,0.012223958969116211,3,1
4,2048,0.006764888763427734,3,1
2,2048,0.01643204689025879,3,1
4,2048,0.006560087203979492,3,1
2,2048,0.012335062026977539,3,1
8,2048,0.004225969314575195,3,1
4,2048,0.0069429874420166016,3,1
2,2048,0.015543937683105469,3,1
4,2048,0.006805896759033203,3,1
8,2048,0.00452113151550293,3,1
2,2048,0.015639781951904297,3,1
4,2048,0.006901979446411133,3,1
2,2048,0.0162808895111084,3,1
4,2048,0.00701904296875,3,1
8,2048,0.0044269561767578125,3,1
2,2048,0.014204025268554688,3,1
4,2048,0.006855010986328125,3,1
2,2048,0.014578104019165039,3,1
4,2048,0.007170200347900391,3,1
2,2048,0.015597105026245117,3,1
8,2048,0.004145145416259766,3,1
4,2048,0.006834983825683594,3,1
2,2048,0.015574932098388672,3,1
4,2048,0.006915092468261719,3,1
2,2048,0.01373910903930664,3,1
8,2048,0.004230976104736328,3,1
4,2048,0.006969928741455078,3,1
2,2048,0.015625953674316406,3,1
4,2048,0.006763935089111328,3,1
2,2048,0.01273202896118164,3,1
8,2048,0.004091024398803711,3,1
