n,time,iters,converged
200,0.011276960372924805,3,1
4096,0.11493206024169922,8,1
1016,0.019759416580200195,2,1
200,0.012717962265014648,3,1
4096,0.19740891456604004,14,1
1016,0.03125882148742676,6,1
200,0.009195327758789062,3,1
1016,0.030393600463867188,5,1
4096,0.26653194427490234,21,1
200,0.00919651985168457,3,1
1016,0.0298917293548584,6,1
4096,0.10340690612792969,6,1
200,0.012512445449829102,4,1
1016,0.032413482666015625,5,1
4096,0.1811809539794922,13,1
200,0.010727405548095703,4,1
1016,0.031078100204467773,5,1
200,0.014032363891601562,5,1
4096,0.10934281349182129,7,1
1016,0.02085590362548828,3,1
200,0.011841535568237305,3,1
4096,0.2608020305633545,20,1
1016,0.031530141830444336,6,1
200,0.010216712951660156,3,1
1016,0.03045821189880371,6,1
200,0.011290788650512695,4,1
4096,0.2280716896057129,18,1
1016,0.03327631950378418,6,1
200,0.01170802116394043,3,1
4096,0.17543983459472656,13,1
1016,0.029285192489624023,5,1
200,0.013190031051635742,3,1
4096,0.09186458587646484,5,1
1016,0.028022289276123047,4,1
200,0.010604143142700195,3,1
4096,0.09760212898254395,6,1
1016,0.028548002243041992,4,1
200,0.013145685195922852,3,1
4096,0.2706172466278076,21,1
200,0.010379314422607422,3,1
1016,0.027215957641601562,4,1
4096,0.11616683006286621,7,1
200,0.013155460357666016,5,1
4096,0.19336700439453125,13,1
200,0.013107538223266602,3,1
200,0.01095724105834961,4,1
4096,0.14945721626281738,9,1
200,0.012818336486816406,4,1
4096,0.12396025657653809,8,1
200,0.010378837585449219,2,1
4096,0.22625207901000977,17,1
200,0.011024713516235352,3,1
200,0.01327967643737793,4,1
200,0.01138615608215332,3,1
200,0.009986162185668945,3,1
200,0.013036727905273438,4,1
200,0.011757612228393555,4,1
200,0.013163089752197266,4,1
200,0.014174938201904297,4,1
200,0.009142398834228516,3,1
200,0.010625362396240234,4,1
200,0.010266304016113281,2,1
200,0.011519193649291992,4,1
200,0.008508682250976562,1,1
200,0.009473562240600586,3,1
200,0.009243965148925781,2,1
200,0.011728048324584961,4,1
200,0.012967824935913086,4,1
200,0.013059616088867188,4,1
200,0.013337373733520508,5,1
200,0.013878583908081055,4,1
200,0.01403665542602539,4,1
200,0.009740352630615234,2,1
200,0.012147665023803711,4,1
200,0.010143280029296875,3,1
200,0.008683443069458008,2,1
200,0.013382196426391602,4,1
200,0.011881828308105469,3,1
200,0.013086557388305664,4,1
200,0.012586116790771484,4,1
200,0.010793447494506836,4,1
200,0.008800745010375977,2,1
200,0.013204813003540039,4,1
200,0.012803792953491211,3,1
200,0.011336088180541992,3,1
200,0.013521909713745117,4,1
200,0.011630058288574219,3,1
200,0.01322317123413086,4,1
200,0.010110616683959961,3,1
200,0.01205754280090332,4,1
200,0.012342453002929688,4,1
200,0.012052297592163086,3,1
200,0.01083993911743164,4,1
200,0.011124372482299805,3,1
200,0.01070547103881836,4,1
200,0.009965658187866211,3,1
200,0.009642362594604492,3,1
200,0.01268458366394043,3,1
200,0.012089252471923828,3,1
200,0.013191699981689453,5,1
200,0.011731624603271484,3,1
200,0.012541055679321289,3,1
200,0.011804580688476562,3,1
200,0.011244535446166992,3,1
200,0.01175236701965332,3,1
200,0.011613607406616211,4,1
200,0.012011528015136719,3,1
200,0.012872457504272461,3,1
200,0.01261758804321289,4,1
200,0.011349201202392578,4,1
200,0.013813257217407227,5,1
200,0.013209819793701172,3,1
200,0.011508941650390625,3,1
200,0.009630203247070312,3,1
3000,0.46648097038269043,26,1
3000,0.2126462459564209,14,1
3000,0.2951314449310303,9,1
3000,0.12029790878295898,7,1
3000,0.4149174690246582,16,1
3000,0.22428655624389648,16,1
3000,0.21520543098449707,9,1
3000,0.1546006202697754,7,1
3000,0.3974449634552002,15,1
3000,0.11504578590393066,4,1
3000,0.3863213062286377,23,1
5250,0.31783080101013184,10,1
3000,0.14162993431091309,9,1
5250,0.47249579429626465,20,1
3000,0.22427892684936523,8,1
5250,0.1927659511566162,6,1
3000,0.31633448600769043,19,1
3000,0.23699355125427246,18,1
5250,0.36438703536987305,15,1
3000,0.1309185028076172,6,1
5250,0.36934423446655273,14,1
3000,0.1914224624633789,6,1
5250,0.19340276718139648,6,1
3000,0.1596834659576416,9,1
5250,0.2886648178100586,11,1
3000,0.19716334342956543,5,1
5250,0.4244863986968994,17,1
3000,0.5572175979614258,45,1
3000,0.09685969352722168,5,1
5250,0.2333683967590332,8,1
3000,0.1629469394683838,8,1
5250,0.21451568603515625,7,1
3000,0.18216180801391602,13,1
5250,0.33959388732910156,14,1
3000,0.15466594696044922,4,1
5250,0.23891425132751465,8,1
3000,0.11339640617370605,6,1
3000,0.14806771278381348,7,1
5250,0.7116913795471191,33,1
3000,0.2975754737854004,18,1
5250,0.18664336204528809,6,1
3000,0.19885611534118652,14,1
5250,0.17920494079589844,5,1
3000,0.12852787971496582,5,1
5250,0.46770167350769043,18,1
3000,0.19443607330322266,5,1
5250,0.30496859550476074,11,1
3000,0.19672918319702148,7,1
3000,0.09983539581298828,4,1
5250,0.2153470516204834,7,1
3000,0.2631518840789795,7,1
5250,0.2296581268310547,8,1
3000,0.0895082950592041,4,1
5250,0.3730182647705078,15,1
3000,0.32901692390441895,11,1
5250,0.23025941848754883,8,1
3000,0.08955836296081543,4,1
5250,0.3620128631591797,14,1
3000,0.3136177062988281,8,1
5250,0.22092986106872559,7,1
3000,0.12685346603393555,7,1
5250,0.36905622482299805,15,1
3000,0.5227537155151367,30,1
3000,0.30275726318359375,21,1
5250,0.4204738140106201,17,1
3000,0.09161090850830078,5,1
5250,0.43530893325805664,19,1
3000,0.11141848564147949,5,1
5250,0.488816499710083,21,1
3000,0.26267123222351074,8,1
3000,0.13079023361206055,8,1
5250,0.48407554626464844,21,1
3000,0.19997072219848633,5,1
5250,0.45697999000549316,19,1
3000,0.11757135391235352,6,1
5250,0.18525338172912598,6,1
3000,0.19782662391662598,7,1
5250,0.19350337982177734,6,1
3000,0.2622370719909668,13,1
5250,0.561668872833252,25,1
3000,0.15812230110168457,11,1
3000,0.12733030319213867,6,1
5250,0.19236063957214355,6,1
3000,0.11629104614257812,5,1
5250,0.2528262138366699,9,1
3000,0.2736227512359619,15,1
5250,0.2545812129974365,9,1
3000,0.5528616905212402,39,1
5250,0.3679990768432617,15,1
3000,0.5797491073608398,48,1
3000,0.13774609565734863,9,1
5250,1.2295713424682617,59,1
3000,0.13174223899841309,5,1
5250,0.5444881916046143,24,1
3000,0.14834284782409668,7,1
5250,0.27058911323547363,10,1
3000,0.20502352714538574,8,1
5250,0.24031543731689453,8,1
3000,0.08574652671813965,4,1
3000,0.11226534843444824,4,1
5250,0.25757884979248047,9,1
5250,0.4489762783050537,18,1
3000,0.25754690170288086,20,1
3000,0.27230000495910645,11,1
5250,0.4161093235015869,18,1
3000,0.11473321914672852,5,1
5250,0.2581617832183838,9,1
3000,0.13130497932434082,5,1
5250,0.2518641948699951,9,1
3000,0.20732641220092773,15,1
5250,0.3794214725494385,15,1
3000,0.15015363693237305,5,1
5250,0.35048985481262207,14,1
3000,0.2445061206817627,17,1
5250,0.1628262996673584,5,1
3000,0.17762470245361328,5,1
3000,0.13428401947021484,9,1
5250,0.3393430709838867,13,1
3000,0.22909903526306152,12,1
5250,0.38031816482543945,15,1
3000,0.11074280738830566,5,1
5250,0.35407304763793945,14,1
3000,0.28788113594055176,11,1
5250,0.5597012042999268,15,1
3000,0.16375136375427246,11,1
3000,0.23258471488952637,8,1
5250,0.41575121879577637,17,1
3000,0.09336233139038086,5,1
5250,0.45639467239379883,14,1
3000,0.17796778678894043,4,1
3000,0.12268209457397461,6,1
5250,1.202629566192627,48,1
3000,0.10260224342346191,5,1
5250,0.27170443534851074,8,1
3000,0.1363203525543213,8,1
5250,0.34894824028015137,14,1
3000,0.09959530830383301,4,1
5250,0.24236679077148438,7,1
3000,0.09314179420471191,4,1
5250,0.22110223770141602,7,1
3000,0.09342765808105469,4,1
